Taxi Rank,Time the taxi join the queue,,,Number of passengers alighting,Time the 1st passenger boards the taxi,Vehicle Registration ,Destination,Single Fare,Route number/code,Number of passengers in taxi when it departs,Time the taxi departs,Date,Survey Period,Key
Bergzicht,16:29:00,,16.48,0,16:46:00,CL55423,CLOETESVILLE,9,665,15,16:47:00,18-Jun-18,Weekday PM,18Jun-665-Weekday PM-Bergzicht
Bergzicht,16:29:00,,16.48,0,16:47:00,3JACOBSWP,CLOETESVILLE,9,665,16,16:48:00,18-Jun-18,Weekday PM,18Jun-665-Weekday PM-Bergzicht
Bergzicht,16:29:00,,16.48,0,16:41:00,LKS1WP,JAMESTOWN,10,670,16,17:06:00,18-Jun-18,Weekday PM,18Jun-670-Weekday PM-Bergzicht
Bergzicht,16:29:00,,16.48,0,16:40:00,CL59259,KAYAMANDI,10,676,16,16:43:00,18-Jun-18,Weekday PM,18Jun-676-Weekday PM-Bergzicht
Bergzicht,16:30:00,,16.5,0,16:48,CL56735,CLOETESVILLE,9,665,16,16:50:00,18-Jun-18,Weekday PM,18Jun-665-Weekday PM-Bergzicht
Bergzicht,16:30:00,,16.5,0,16:41:00,CL35291,KAYAMANDI,10,676,16,16:44:00,18-Jun-18,Weekday PM,18Jun-676-Weekday PM-Bergzicht
Bergzicht,16:30:00,,16.5,0,16:30:00,CL27906,SOMERSET WEST,15,T43,16,16:34:00,18-Jun-18,Weekday PM,18Jun-T43-Weekday PM-Bergzicht
Bergzicht,16:33:00,,16.55,0,16:43:00,CL75118,KAYAMANDI,10,676,16,16:46:00,18-Jun-18,Weekday PM,18Jun-676-Weekday PM-Bergzicht
Bergzicht,16:34:00,,16.57,0,16:08:00,CL82366,IDAS VALLEY,9,630,14,17:04:00,18-Jun-18,Weekday PM,18Jun-630-Weekday PM-Bergzicht
Bergzicht,16:34:00,,16.57,0,16:46:00,CL66300,IDAS VALLEY,9,630,15,16:49:00,18-Jun-18,Weekday PM,18Jun-630-Weekday PM-Bergzicht
Bergzicht,16:34:00,,16.57,0,16:50:00,CL26788,IDAS VALLEY,9,630,15,16:58:00,18-Jun-18,Weekday PM,18Jun-630-Weekday PM-Bergzicht
Bergzicht,16:36:00,,16.6,0,17:04:00,MJACOBSWP,IDAS VALLEY,9,630,14,17:11:00,18-Jun-18,Weekday PM,18Jun-630-Weekday PM-Bergzicht
Bergzicht,16:37:00,,16.62,0,16:44:00,CL28514,KAYAMANDI,10,676,16,16:46,18-Jun-18,Weekday PM,18Jun-676-Weekday PM-Bergzicht
Bergzicht,16:43:00,,16.72,11,16:43:00,CL31272,DEVON VALLEY,10,664,16,17:30:00,18-Jun-18,Weekday PM,18Jun-664-Weekday PM-Bergzicht
Bergzicht,16:43:00,,16.72,0,16:46:00,CL12804,KAYAMANDI,10,676,16,16:47:00,18-Jun-18,Weekday PM,18Jun-676-Weekday PM-Bergzicht
Bergzicht,16:44:00,,16.73,0,16:10:00,CL34331,SOMERSET WEST,15,660,16,16:58:00,18-Jun-18,Weekday PM,18Jun-660-Weekday PM-Bergzicht
Bergzicht,16:44:00,,16.73,0,16:48:00,CL70469,KAYAMANDI,10,676,16,16:50:00,18-Jun-18,Weekday PM,18Jun-676-Weekday PM-Bergzicht
Bergzicht,16:45:00,,16.75,0,16:58:00,CFM22288,SOMERSET WEST,15,278,16,17:09:00,18-Jun-18,Weekday PM,18Jun-278-Weekday PM-Bergzicht
Bergzicht,16:45:00,,16.75,0,17:09:00,CL53080,SOMERSET WEST,15,T43,16,17:10:00,18-Jun-18,Weekday PM,18Jun-T43-Weekday PM-Bergzicht
Bergzicht,16:45:00,,16.75,0,17:10:00,CL80948,SOMERSET WEST,15,T43,16,17:15:00,18-Jun-18,Weekday PM,18Jun-T43-Weekday PM-Bergzicht
Bergzicht,16:47:00,,16.78,0,16:48:00,CL68550,KAYAMANDI,10,676,16,16:49:00,18-Jun-18,Weekday PM,18Jun-676-Weekday PM-Bergzicht
Bergzicht,16:47:00,,16.78,0,16:49:00,CL62506,KAYAMANDI,10,676,16,16:53:00,18-Jun-18,Weekday PM,18Jun-676-Weekday PM-Bergzicht
Bergzicht,16:47:00,,16.78,0,16:48:00,CL19075,DEVON VALLEY,10,none,10,17:15:00,18-Jun-18,Weekday PM,18Jun-none-Weekday PM-Bergzicht
Bergzicht,16:48:00,,16.8,0,16:50:00,CL65735,CLOETESVILLE,9,636,14,16:54:00,18-Jun-18,Weekday PM,18Jun-636-Weekday PM-Bergzicht
Bergzicht,16:48:00,,16.8,0,16:48:00,CL32113,SOMERSET WEST,15,660,16,16:52:00,18-Jun-18,Weekday PM,18Jun-660-Weekday PM-Bergzicht
Bergzicht,16:48:00,,16.8,0,16:51:00,CF95840,KAYAMANDI,10,676,20,16:59:00,18-Jun-18,Weekday PM,18Jun-676-Weekday PM-Bergzicht
Bergzicht,16:48:00,,16.8,0,16:53:00,CL76979,KAYAMANDI,10,676,16,16:55:00,18-Jun-18,Weekday PM,18Jun-676-Weekday PM-Bergzicht
Bergzicht,16:49:00,,16.82,0,16:54:00,THURLOWP,CLOETESVILLE,9,665,16,16:56:00,18-Jun-18,Weekday PM,18Jun-665-Weekday PM-Bergzicht
Bergzicht,16:50:00,,16.83,0,16:50:00,CL82352,CLOETESVILLE,9,665,16,16:57:00,18-Jun-18,Weekday PM,18Jun-665-Weekday PM-Bergzicht
Bergzicht,16:50:00,,16.83,0,16:57:00,CL15204,KAYAMANDI,10,676,16,17:00:00,18-Jun-18,Weekday PM,18Jun-676-Weekday PM-Bergzicht
Bergzicht,16:50:00,,16.83,0,16:55:00,DINGE1WP,KAYAMANDI,10,676,16,16:57:00,18-Jun-18,Weekday PM,18Jun-676-Weekday PM-Bergzicht
Bergzicht,16:51:00,,16.85,0,16:58:00,GEORGE3WP,CLOETESVILLE,9,665,14,17:01:00,18-Jun-18,Weekday PM,18Jun-665-Weekday PM-Bergzicht
Bergzicht,16:52:00,,16.87,0,17:02:00,CL44770,CLOETESVILLE,9,665,14,17:04:00,18-Jun-18,Weekday PM,18Jun-665-Weekday PM-Bergzicht
Bergzicht,16:52:00,,16.87,0,17:05:00,CL50176,CLOETESVILLE,9,665,14,17:01:00,18-Jun-18,Weekday PM,18Jun-665-Weekday PM-Bergzicht
Bergzicht,16:52:00,,16.87,0,16:58:00,CL16234,KAYAMANDI,10,676,16,17:03:00,18-Jun-18,Weekday PM,18Jun-676-Weekday PM-Bergzicht
Bergzicht,16:56:00,,16.93,0,17:03:00,CL78512,KAYAMANDI,10,676,16,17:06:00,18-Jun-18,Weekday PM,18Jun-676-Weekday PM-Bergzicht
Bergzicht,16:56:00,,16.93,0,17:05:00,CL63744,KAYAMANDI,10,676,16,17:10:00,18-Jun-18,Weekday PM,18Jun-676-Weekday PM-Bergzicht
Bergzicht,16:57:00,,16.95,0,17:09,CL15771,KAYAMANDI,10,676,16,17:12:00,18-Jun-18,Weekday PM,18Jun-676-Weekday PM-Bergzicht
Bergzicht,16:58:00,,16.97,0,17:07:00,CL30861,CLOETESVILLE,9,636,16,17:10:00,18-Jun-18,Weekday PM,18Jun-636-Weekday PM-Bergzicht
Bergzicht,16:58:00,,16.97,8,17:06:00,CL30351,JAMESTOWN,10,670,16,17:16:00,18-Jun-18,Weekday PM,18Jun-670-Weekday PM-Bergzicht
