Taxi Rank,Time the taxi join the queue,,Time in hours,Number of passengers alighting,Time the 1st passenger boards the taxi,Vehicle Registration ,Destination,Single Fare,Route number/code,Number of passengers in taxi when it departs,Time the taxi departs,Date,Survey Period,Key,Column1,Date; Route Number; Survey Period; Taxi Rank
Bergzicht,12:59,,12.98,7,13:06:00,CL10332,JAMESTOWN,10,670,15,13:23:00,30-Jun-18,Saturday,30Jun-670-Saturday-Bergzicht,,
Bergzicht,12:59,,12.98,0,13:22:00,CL49798,JAMESTOWN,10,670,16,13:32:00,30-Jun-18,Saturday,30Jun-670-Saturday-Bergzicht,,
Bergzicht,12:59,,12.98,0,13:04:00,CL63744,KAYAMANDI,10,676,15,13:06:00,30-Jun-18,Saturday,30Jun-676-Saturday-Bergzicht,,
Bergzicht,12:59,,12.98,0,13:05:00,CL55069,KAYAMANDI,10,676,15,13:08:00,30-Jun-18,Saturday,30Jun-676-Saturday-Bergzicht,,
Bergzicht,12:59,,12.98,0,13:07:00,CL67019,KAYAMANDI,10,676,15,13:09:00,30-Jun-18,Saturday,30Jun-676-Saturday-Bergzicht,,
Bergzicht,13:00,,13,16,13:00:00,CL62851,VLOTTENBURG,10,663,16,13:07:00,30-Jun-18,Saturday,30Jun-663-Saturday-Bergzicht,,
Bergzicht,13:00,,13,0,13:07:00,CL772971,KAYAMANDI,10,676,15,13:10:00,30-Jun-18,Saturday,30Jun-676-Saturday-Bergzicht,,
Bergzicht,13:02,,13.03,0,13:07:00,CL67547,KAYAMANDI,10,676,15,13:11:00,30-Jun-18,Saturday,30Jun-676-Saturday-Bergzicht,,
Bergzicht,13:02,,13.03,0,13:10:00,CL62506,KAYAMANDI,10,676,15,13:13:00,30-Jun-18,Saturday,30Jun-676-Saturday-Bergzicht,,
Bergzicht,13:04,,13.07,0,13:13:00,CL44603,CLOETESVILLE,9,636,15,13:19:00,30-Jun-18,Saturday,30Jun-636-Saturday-Bergzicht,,
Bergzicht,13:05,,13.08,0,13:18:00,CL56735,CLOETESVILLE,9,665,15,13:23:00,30-Jun-18,Saturday,30Jun-665-Saturday-Bergzicht,,
Bergzicht,13:05,,13.08,10,13:24:00,CL64025,KYLEMORE,13,668,15,13:34:00,30-Jun-18,Saturday,30Jun-668-Saturday-Bergzicht,,
Bergzicht,13:06,,13.1,0,13:08:00,CL57680,VLOTTENBURG,10,663,16,13:24:00,30-Jun-18,Saturday,30Jun-663-Saturday-Bergzicht,,
Bergzicht,13:06,,13.1,0,13:23:00,CL74694,CLOETESVILLE,9,665,15,13:25:00,30-Jun-18,Saturday,30Jun-665-Saturday-Bergzicht,,
Bergzicht,13:06,,13.1,0,13:23:00,CL283,KYLEMORE,13,668,15,13:34:00,30-Jun-18,Saturday,30Jun-668-Saturday-Bergzicht,,
Bergzicht,13:08,,13.13,3,13:43:00,KYKA1WP,KYLEMORE,13,668,15,13:42:00,30-Jun-18,Saturday,30Jun-668-Saturday-Bergzicht,,
Bergzicht,13:08,,13.13,10,13:48:00,NICKY1WP,KYLEMORE,13,668,15,13:49:00,30-Jun-18,Saturday,30Jun-668-Saturday-Bergzicht,,
